29  343 274 446 284 31
30  110  38 171  46 10
30  228  47 448  56 15
30  467  75 600  83 9
30   54  85 242  93 17
30  358  83 394  93 29
30   58 113 161 122 28
30  275 114 311 122 25
30   31 124 149 132 26
30  206 124 348 132 27
30  173 158 245 166 8
30  126 168 307 176 46
30  247 196 372 204 26
30  195 243 313 251 34
31  111  38 171  46 10
31  406  37 571  47 15
31   49  57 160  67 29
31  177  57 286  67 30
31  290  56 318  67 24
31   58 113 161 122 28
31  275 114 311 122 25
31   23 124 140 132 26
31  212 124 356 132 27
31  173 158 245 166 8
31  126 168 307 176 46
31   94 185 219 193 26
31  114 233 366 243 27
32  156  37 287  46 16
32  473  37 528  47 12
32  274  48 384  56 21
32  336 112 404 120 8
32  373 131 553 140 21
32  362 243 568 252 34
32  480 263 535 271 33
33  205  26 233  36 22
33  340  27 401  37 7
33  468  27 544  37 8
33  469 229 574 238 21
33  294 264 499 273 34
34   40  27 131  36 15
34  133  37 402  47 32
34  285  64 524  74 35
34  347 113 527 123 36
34  446 142 604 153 67
34  261 153 393 163 68
34  350 202 379 212 18
34  390 202 419 212 22
34  439 202 475 212 29
35  347  38 578  46 72
35  134 144 404 152 32
35  454 221 562 229 21
36  226 133 462 143 35
36  233 145 390 154 11
36  313 156 447 165 12
36   59 187 281 197 34
37   22  55 250  64 18
37  534  55 596  64 12
37  277  65 395  74 16
37  210  83 297  91 8
37   21  99 258 108 22
37  237 152 346 160 21
37  163 170 307 178 46
37  184 250 212 259 24
37  177 260 300 268 34
37  312 260 435 268 30
37  446 260 548 268 31
38  104  29 268  38 15
38  314  39 376  48 7
38  119  68 186  76 8
38  362  78 465  86 15
38  182 126 236 134 10
38  416 135 573 144 11
38  413 175 516 184 69
38  209 186 365 194 10
38  445 254 580 263 9
38   47 265 237 273 9
39   55  34 205  43 20
39  223  35 325  43 15
39   60  68 274  76 59
39  389  68 580  76 60
39   63 108 119 116 12
40  225  28 397  36 21
40  401  27 428  36 18
40  157  53 224  62 8
40   69 101 124 109 8
40  135 101 331 109 9
40  121 257 175 265 15
41  283  27 360  37 22
41  194  82 405 132 42
41  194 155 405 205 44
42  188  29 297  37 21
42  476  27 506  38 22
42  319  47 373  55 12
42  480  47 541  55 7
42   40  97 180 105 46
42  138 170 165 180 18
42  217 202 319 210 47
42   61 211 154 219 47
42   33 235 102 245 44
43  339  28 447  36 21
